"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Chest Dip";"1";"0.0";"15";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Chest Dip";"2";"0.0";"15";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Chest Dip";"3";"0.0";"10";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bench Press (Barbell)";"1";"52.163122550000004";"10";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bench Press (Barbell)";"2";"61.23496995";"8";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bench Press (Barbell)";"3";"70.30681735";"7";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bench Press (Barbell)";"4";"70.30681735";"6";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bicep Curl (Dumbbell)";"1";"13.6077711";"10";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bicep Curl (Dumbbell)";"2";"13.6077711";"10";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bicep Curl (Dumbbell)";"3";"15.875732950000002";"8";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Bicep Curl (Dumbbell)";"4";"15.875732950000002";"5";"";"";"";"";""
"1";"2023-06-05 18:57:00";"Entrenamiento por la tarde noche";"4848";"Running (Treadmill)";"1";"";"";"";"4420.0";"1200.0";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Deadlift (Barbell)";"1";"61.23496995";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Deadlift (Barbell)";"2";"61.23496995";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Deadlift (Barbell)";"3";"65.77089365";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Deadlift (Barbell)";"4";"65.77089365";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Deadlift (Barbell)";"5";"70.30681735";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Leg Press";"1";"61.23496995";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Leg Press";"2";"81.6466266";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Leg Press";"3";"81.6466266";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Leg Press";"4";"81.6466266";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Leg Press";"5";"102.05828325";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Hip Abductor (Machine)";"1";"38.55535145";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Hip Abductor (Machine)";"2";"45.359237";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Hip Abductor (Machine)";"3";"45.359237";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Hip Abductor (Machine)";"4";"52.163122550000004";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Hip Abductor (Machine)";"5";"65.77089365";"7";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Toes To Bar";"1";"";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Toes To Bar";"2";"";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Toes To Bar";"3";"";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Toes To Bar";"4";"";"10";"";"";"";"";""
"2";"2023-06-06 20:18:06";"Entrenamiento por la tarde noche";"5115";"Toes To Bar";"5";"";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Lateral Raise (Dumbbell)";"1";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Lateral Raise (Dumbbell)";"2";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Lateral Raise (Dumbbell)";"3";"6.80388555";"12";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Front Raise (Barbell)";"1";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Front Raise (Barbell)";"2";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Front Raise (Barbell)";"3";"6.80388555";"12";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Overhead Press (Dumbbell)";"1";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Overhead Press (Dumbbell)";"2";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Backward Raise";"1";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Backward Raise";"2";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Backward Raise";"3";"6.80388555";"12";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Bicep Curl (Dumbbell)";"1";"6.80388555";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Bicep Curl (Dumbbell)";"2";"6.80388555";"15";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Bicep Curl (Dumbbell)";"3";"6.80388555";"15";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Arnold Press (Dumbbell)";"1";"6.80388555";"12";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Ab Wheel";"1";"0.0";"10";"";"";"";"";""
"3";"2023-06-07 18:13:07";"Entrenamiento por la tarde noche";"1925";"Ab Wheel";"2";"0.0";"10";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Bench Press (Barbell)";"1";"61.23496995";"8";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Bench Press (Barbell)";"2";"61.23496995";"10";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Bench Press (Barbell)";"3";"70.30681735";"8";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Bench Press (Barbell)";"4";"74.84274105";"6";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Cable Crossover";"1";"10.205828325";"10";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Cable Crossover";"2";"12.473790175000001";"10";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Cable Crossover";"3";"14.741752025";"8";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Cable Crossover";"4";"17.009713875";"5";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Cable Crossover";"5";"10.205828325";"10";"";"";"";"";""
"4";"2023-06-08 20:28:39";"Pecho y Bíceps";"5443";"Bicep Curl (Dumbbell)";"1";"13.6077711";"10";"";"";"";"";""
